sentence,title
时人不识凌云木，直待凌云始道高。,杜荀鹤《小松》
人间四月芳菲尽，山寺桃花始盛开。,白居易《大林寺桃花》
不经一番寒彻骨，怎得梅花扑鼻香。,黄蘖禅师《上堂开示颂》
一骑红尘妃子笑，无人知是荔枝来。,杜牧《过华清宫绝句三首》
怕相思，已相思，轮到相思没处辞，眉间露一丝。,俞彦《长相思·折花枝》
青山一道同云雨，明月何曾是两乡。,王昌龄《送柴侍御》
青山依旧在，几度夕阳红。,杨慎《临江仙·滚滚长江东逝水》
江南无所有，聊赠一枝春。,陆凯《赠范晔诗》
试问岭南应不好，却道：此心安处是吾乡。,苏轼《少年游·南海归赠王定国侍人寓娘》
欲买桂花同载酒，终不似，少年游。,刘过《唐多令·芦叶满汀洲》
读书不觉已春深，一寸光阴一寸金。,王贞白《白鹿洞二首·其一》
天涯地角有穷时，只有相思无尽处。,晏殊《玉楼春·春恨》
人生天地之间，若白驹之过隙，忽然而已。,《庄子·外篇·知北游》
被酒莫惊春睡重，赌书消得泼茶香，当时只道是寻常。,纳兰性德《浣溪沙·谁念西风独自凉》
衣带渐宽终不悔，为伊消得人憔悴。,柳永《蝶恋花·伫倚危楼风细细》
人言落日是天涯，望极天涯不见家。,李觏《乡思》
苟利国家生死以，岂因祸福避趋之。,林则徐《赴戍登程口占示家人·其二》
十年磨一剑，霜刃未曾试。,贾岛《剑客 / 述剑》
当年不肯嫁春风，无端却被秋风误。,贺铸《芳心苦·杨柳回塘》
世事漫随流水，算来一梦浮生。,李煜《乌夜啼·昨夜风兼雨》
东风夜放花千树。更吹落、星如雨。,辛弃疾《青玉案·元夕》
江碧鸟逾白，山青花欲燃。,杜甫《绝句二首》
晚来天欲雪，能饮一杯无。,白居易《问刘十九》
泪眼问花花不语，乱红飞过秋千去。,欧阳修《蝶恋花·庭院深深深几许》
海上生明月，天涯共此时。,张九龄《望月怀远》
枯藤老树昏鸦，小桥流水人家，古道西风瘦马。,马致远《天净沙·秋思》
流光容易把人抛，红了樱桃，绿了芭蕉。,蒋捷《一剪梅·舟过吴江》
梅须逊雪三分白，雪却输梅一段香。,卢梅坡《雪梅·其一》
成事不说，遂事不谏，既往不咎。,《论语·八佾篇》
醉卧沙场君莫笑，古来征战几人回？,王翰《凉州词二首·其一》
日日思君不见君，共饮长江水。,李之仪《卜算子·我住长江头》
人生到处知何似，应似飞鸿踏雪泥。,苏轼《和子由渑池怀旧》
大鹏一日同风起，扶摇直上九万里。,李白《上李邕》
粗缯大布裹生涯，腹有诗书气自华。,苏轼《和董传留别》
莫愁前路无知己，天下谁人不识君。,高适《别董大二首》
把酒祝东风。且共从容。,欧阳修《浪淘沙·把酒祝东风》
落霞与孤鹜齐飞，秋水共长天一色。,王勃《滕王阁序》
风萧萧兮易水寒，壮士一去兮不复还。,佚名《荆轲歌 / 渡易水歌》
昭昭若日月之明，离离如星辰之行,《文心雕龙·宗经》
物是人非事事休，欲语泪先流。,李清照《武陵春·春晚》
世事短如春梦，人情薄似秋云。,朱敦儒《西江月·世事短如春梦》
换我心，为你心，始知相忆深。,顾夐《诉衷情·永夜抛人何处去》
同是天涯沦落人，相逢何必曾相识！,白居易《琵琶行 / 琵琶引》
